2588;0;x
5176;0;x
7764;0;x
10352;0;x
12940;0;x
15528;0;x
18116;0;x
20704;0;x
23292;0;x
25880;0;x
28468;0;x
31056;0;x
33644;0;x
36232;0;x
38820;0;x
41408;0;x
43996;0;x
46584;0;x
49172;0;x
51760;0;x
54348;0;x
56936;0;x
59524;0;-16141
62112;0;-1
64700;0;647
67288;0;1292
69876;0;1936
72464;0;2577
75052;0;3214
77640;0;3845
80228;0;4471
82816;0;5090
85404;0;5700
87992;0;6303
90580;0;6895
93168;0;7476
95756;0;8046
98344;0;8603
100932;0;9147
577;1;9677
2588;1;10191
5176;1;10690
7764;1;11171
10352;1;11636
12940;1;12082
15528;1;12509
18116;1;12917
20704;1;13305
23292;1;13672
25880;1;14018
28468;1;14342
31056;1;14643
33644;1;14922
36232;1;15177
38820;1;15410
41408;1;15617
43996;1;15800
46584;1;15960
49172;1;16093
51760;1;16202
54348;1;16285
56936;1;16343
59524;1;16375
62112;1;16383
64700;1;16371
67288;1;16332
69876;1;16269
72464;1;16180
75052;1;16065
77640;1;15926
80228;1;15762
82816;1;15573
85404;1;15360
87992;1;15122
90580;1;14862
93168;1;14578
95756;1;14271
98344;1;13943
100932;1;13592
577;2;13220
2588;2;12828
5176;2;12416
7764;2;11984
10352;2;11534
12940;2;11065
15528;2;10580
18116;2;10078
20704;2;9560
23292;2;9027
25880;2;8480
28468;2;7920
31056;2;7348
33644;2;6764
36232;2;6170
38820;2;5565
41408;2;4953
43996;2;4333
46584;2;3705
49172;2;3072
51760;2;2435
54348;2;1793
56936;2;1149
59524;2;503
62112;2;-143
64700;2;-647
67288;2;-1292
69876;2;-1936
72464;2;-2577
75052;2;-3214
77640;2;-3845
80228;2;-4471
82816;2;-5090
85404;2;-5700
87992;2;-6303
90580;2;-6895
93168;2;-7476
95756;2;-8046
98344;2;-8603
100932;2;-9147
577;3;-9677
2588;3;-10191
5176;3;-10690
7764;3;-11171
10352;3;-11636
12940;3;-12082
15528;3;-12509
18116;3;-12917
20704;3;-13305
23292;3;-13672
25880;3;-14018
28468;3;-14342
31056;3;-14643
33644;3;-14922
36232;3;-15177
38820;3;-15410
41408;3;-15617
43996;3;-15800
46584;3;-15960
49172;3;-16093
51760;3;-16202
54348;3;-16285
56936;3;-16343
59524;3;-16375
62112;3;-16383
64700;3;-16371
67288;3;-16332
69876;3;-16269
72464;3;-16180
75052;3;-16065
77640;3;-15926
80228;3;-15762
82816;3;-15573
85404;3;-15360
87992;3;-15122
90580;3;-14862
93168;3;-14578
95756;3;-14271
98344;3;-13943
100932;3;-13592
577;0;-13220
2588;0;-12828
5176;0;-12416
7764;0;-11984
10352;0;-11534
12940;0;-11065
15528;0;-10580
18116;0;-10078
20704;0;-9560
23292;0;-9027
25880;0;-8480
28468;0;-7920
31056;0;-7348
33644;0;-6764
36232;0;-6170
38820;0;-5565
41408;0;-4953
43996;0;-4333
46584;0;-3705
49172;0;-3072
51760;0;-2435
54348;0;-1793
56936;0;-1149
59524;0;-503
62112;0;143
64700;0;647
67288;0;1292
69876;0;1936
72464;0;2577
75052;0;3214
77640;0;3845
80228;0;4471
82816;0;5090
85404;0;5700
87992;0;6303
90580;0;6895
93168;0;7476
95756;0;8046
98344;0;8603
100932;0;9147
577;1;9677
2588;1;10191
5176;1;10690
7764;1;11171
10352;1;11636
12940;1;12082
15528;1;12509
18116;1;12917
20704;1;13305
23292;1;13672
25880;1;14018
28468;1;14342
31056;1;14643
33644;1;14922
36232;1;15177
38820;1;15410
41408;1;15617
43996;1;15800
46584;1;15960
49172;1;16093
51760;1;16202
54348;1;16285
56936;1;16343
59524;1;16375
62112;1;16383
64700;1;16371
67288;1;16332
69876;1;16269
72464;1;16180
75052;1;16065
77640;1;15926
80228;1;15762
82816;1;15573
85404;1;15360
87992;1;15122
90580;1;14862
93168;1;14578
95756;1;14271
98344;1;13943
100932;1;13592
577;2;13220
2588;2;12828
5176;2;12416
7764;2;11984
10352;2;11534
12940;2;11065
15528;2;10580
18116;2;10078
20704;2;9560
23292;2;9027
25880;2;8480
28468;2;7920
31056;2;7348
33644;2;6764
36232;2;6170
38820;2;5565
41408;2;4953
41446;2;4333
41484;2;3705
41522;2;3072
41560;2;2435
41598;2;1793
41636;2;1149
41674;2;503
41712;2;-143
41750;2;-647
41788;2;-1292
41826;2;-1936
41864;2;-2577
41902;2;-3214
41940;2;-3845
41978;2;-4471
42016;2;-5090
42054;2;-5700
42092;2;-6303
42130;2;-6895
42168;2;-7476
42206;2;-8046
42244;2;-8603
42282;2;-9147
42320;2;-9677
42358;2;-9684
42396;2;-9692
42434;2;-9700
42472;2;-9707
42510;2;-9715
42548;2;-9722
42586;2;-9730
42624;2;-9738
42662;2;-9745
42700;2;-9753
42738;2;-9761
42776;2;-9768
42814;2;-9776
42852;2;-9783
42890;2;-9791
42928;2;-9799
42966;2;-9806
43004;2;-9814
43042;2;-9822
43080;2;-9829
43118;2;-9837
43156;2;-9844
43194;2;-9852
43232;2;-9860
43270;2;-9867
43308;2;-9875
43346;2;-9882
43384;2;-9890
43422;2;-9898
43460;2;-9905
43498;2;-9912
43536;2;-9920
43574;2;-9927
43612;2;-9935
43650;2;-9943
43688;2;-9951
43726;2;-9958
43764;2;-9965
43802;2;-9973
43840;2;-9981
43878;2;-9988
43916;2;-9996
43954;2;-10003
43992;2;-10011
44030;2;-10018
44068;2;-10026
44106;2;-10033
44144;2;-10040
44182;2;-10048
44220;2;-10056
44258;2;-10063
44296;2;-10071
44334;2;-10078
44372;2;-10086
44410;2;-10093
44448;2;-10101
44486;2;-10108
44524;2;-10116
44562;2;-10123
44600;2;-10130
44638;2;-10138
44676;2;-10146
44714;2;-10153
44752;2;-10161
44790;2;-10168
44828;2;-10175
44866;2;-10183
44904;2;-10190
44942;2;-10198
44980;2;-10205
45018;2;-10213
45056;2;-10220
45094;2;-10227
45132;2;-10235
45170;2;-10242
45208;2;-10250
45246;2;-10257
45284;2;-10264
45322;2;-10272
45360;2;-10279
45398;2;-10287
45436;2;-10294
45474;2;-10301
45512;2;-10309
45550;2;-10316
45588;2;-10323
45626;2;-10331
45664;2;-10338
45702;2;-10346
45740;2;-10353
45778;2;-10360
45816;2;-10367
45854;2;-10375
45892;2;-10382
45930;2;-10389
45968;2;-10397
46006;2;-10404
46044;2;-10411
46082;2;-10419
46120;2;-10426
46158;2;-10433
46196;2;-10440
46234;2;-10449
46272;2;-10456
46310;2;-10463
46348;2;-10470
46386;2;-10478
46424;2;-10485
46462;2;-10492
46500;2;-10499
46538;2;-10507
46576;2;-10514
46614;2;-10521
46652;2;-10528
46690;2;-10536
46728;2;-10543
46766;2;-10550
46804;2;-10558
46842;2;-10565
